"form","id","in_dreamteam","now_cost","points_per_game","second_name","selected_by_percent","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type"
0.7,540,FALSE,5.9,1,"Traoré",0,"a",2,7,5,5879,113,5444,417,0.1,0.8,"Traoré",70,0,0,0,3,0,0,0,0,0,0,0,13,5.8,2.8,55,6.3,379,168,339,167,149,80,311,143
0,554,FALSE,4.5,1,"Ramsey",0.1,"a",2,7,1,5853,635,3475,671,0,0.2,"Ramsey",13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,522,200,510,201,485,189,524,200
2.7,54,FALSE,6.2,1.9,"Lallana",0.4,"a",3,36,15,10994,1031,68356,1872,0.4,2.4,"Lallana",470,0,0,2,7,0,0,0,0,0,0,0,63,42,130.9,95,26.5,263,109,38,30,76,41,94,53
3.3,57,FALSE,5.8,2,"Groß",0.1,"a",3,36,14,2647,331,9181,494,0.6,2.4,"Groß",252,0,1,1,4,0,0,0,0,0,0,1,62,71.6,143.7,64,28,192,75,34,26,124,68,85,48
0,59,FALSE,4.8,0,"Pröpper",0,"d",3,36,0,808,70,5132,168,0,0,"Pröpper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,210,529,211,510,202,542,210
0,60,FALSE,5,0,"Mooy",0,"u",3,36,0,9867,33,11027,24,0,0,"Mooy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,223,563,224,555,220,571,223
1.7,65,FALSE,5,3.7,"March",0.9,"a",3,36,26,133347,2955,82303,8809,0.3,5.2,"March",570,1,1,2,12,0,0,0,0,0,0,2,113,127.8,157.6,116,40.2,94,34,27,20,57,30,45,25
1.7,69,FALSE,6,3.9,"Trossard",1.4,"d",3,36,27,244820,362,197906,34629,0.3,4.5,"Trossard",588,1,2,2,13,0,0,0,1,0,0,1,82,85.6,155,139,37.8,174,67,28,21,46,26,52,29
0.3,71,FALSE,5.4,1.5,"Jahanbakhsh",0,"a",3,36,6,1172,63,3505,80,0.1,1.1,"Jahanbakhsh",35,0,1,0,1,0,0,0,1,0,0,0,32,32.6,42.8,28,10.3,294,124,163,102,212,109,259,118
0,72,FALSE,5.5,0,"Izquierdo",0,"d",3,36,0,9835,25,9856,13,0,0,"Izquierdo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,233,587,234,584,232,588,233
2,76,FALSE,4.5,2.6,"Bissouma",3.5,"a",3,36,18,219818,10744,262451,18862,0.4,4,"Bissouma",628,1,0,2,11,0,0,0,2,1,0,2,75,88.2,40.4,71,19.7,168,63,170,108,112,64,153,77
0.3,79,FALSE,4.5,1.8,"Alzate",0.8,"a",3,36,9,113031,396,86646,5528,0.1,2,"Alzate",350,0,0,1,11,0,0,0,1,0,0,0,59,48,89.8,23,16.1,245,100,82,55,224,117,188,92
0.7,80,FALSE,5.3,3.7,"Mac Allister",0.1,"i",3,36,11,2318,116,4082,425,0.1,2.1,"Mac Allister",43,1,0,0,1,0,0,0,0,0,0,3,29,43.4,2.7,7,5.3,256,104,340,168,303,154,330,153
0,550,FALSE,4.5,0,"Molumby",0,"a",3,36,0,1286,183,768,129,0,0,"Molumby",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,197,507,198,482,186,521,197
0.3,55,FALSE,4.4,1.7,"Stephens",6.4,"d",4,90,5,217650,1300,647604,44811,0.1,1.1,"Stephens",202,0,0,0,4,0,0,0,0,0,0,0,27,23.8,7.3,21,5.3,313,132,312,162,233,124,326,150
0,84,FALSE,5,0,"Cork",0,"i",4,90,0,9938,36,10553,42,0,0,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,221,559,222,550,218,569,221
2.3,89,FALSE,5.3,3,"Westwood",0.5,"a",4,90,21,10563,745,40282,2233,0.4,4,"Westwood",630,1,0,2,12,0,0,0,1,0,0,1,111,109.4,127.4,36,27.3,127,46,40,31,188,99,91,51
0.7,90,FALSE,5.4,2,"Gudmundsson",0,"d",4,90,6,10098,28,13947,72,0.1,1.1,"Gudmundsson",173,0,0,1,2,0,0,0,0,0,0,0,18,14.4,19.9,21,5.6,347,151,251,142,235,125,323,147
