"form","id","in_dreamteam","now_cost","points_per_game","second_name","selected_by_percent","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type"
0,170,FALSE,3.9,0,"Branthwaite",2.4,"a",7,11,0,118370,8265,214502,8034,0,0,"Branthwaite",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,159,398,159,362,141,419,159
0.3,559,FALSE,4,1,"Nkounkou",0.2,"a",7,11,1,16237,2236,6116,1673,0.1,0.2,"Nkounkou",68,0,0,0,1,0,0,0,1,0,0,0,6,13.8,5.3,1,2,348,137,322,109,347,127,376,141
0.3,566,FALSE,5,1,"Godfrey",0.1,"a",7,11,2,5697,393,3330,508,0.1,0.4,"Godfrey",149,0,0,0,3,0,0,0,0,0,0,0,20,31.4,11.9,0,4.4,297,118,293,95,559,212,343,121
0,173,FALSE,4.3,0.5,"Le Marchand",0.1,"a",8,54,1,1470,48,9155,366,0,0.2,"Le Marchand",122,0,0,0,1,0,0,0,2,0,0,0,12,12.6,1.6,1,1.6,353,139,352,130,348,128,386,143
0.3,176,FALSE,4.4,1.4,"Ream",0.2,"a",8,54,7,6516,72,11862,739,0.1,1.6,"Ream",450,0,0,0,10,0,0,0,0,0,0,0,78,82.6,4.7,0,8.8,179,73,325,111,422,171,277,96
0,178,FALSE,4.3,0,"Hector",0.2,"a",8,54,0,4351,178,16629,633,0,0,"Hector",237,0,0,0,10,0,0,0,1,0,0,0,33,38.8,11.3,18,6.7,271,106,300,98,246,77,305,107
0,179,FALSE,4.3,0,"Christie",0,"n",8,54,0,479,26,9054,151,0,0,"Christie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,175,432,174,400,160,454,175
0.3,182,FALSE,4.8,1.4,"Bryan",0.4,"a",8,54,7,12587,149,53702,2227,0.1,1.5,"Bryan",337,0,1,0,11,0,0,0,1,0,0,0,64,62.2,50.6,25,13.8,212,88,149,37,219,67,214,70
0,185,FALSE,4.4,0,"Mawson",0,"n",8,54,0,204,7,1378,29,0,0,"Mawson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,190,462,189,432,177,483,190
0,192,FALSE,4.3,0,"Sessegnon",0,"n",8,54,0,425,33,7796,140,0,0,"Sessegnon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,177,434,176,402,162,456,177
3.3,484,FALSE,4.4,2.8,"Robinson",0.1,"a",8,54,14,6043,865,7088,675,0.7,3.2,"Robinson",450,0,0,1,5,0,0,0,0,0,0,1,82,107.4,119.7,27,25.5,133,52,48,11,215,65,99,24
0,517,FALSE,4.3,1,"Tete",0.1,"i",8,54,2,5867,67,12886,319,0,0.5,"Tete",128,0,1,0,6,0,0,0,1,0,0,0,29,53,67.5,4,12.4,234,97,122,27,319,112,233,78
0,525,FALSE,4.3,0.3,"Odoi",0.1,"a",8,54,1,5596,154,5990,294,0,0.2,"Odoi",270,0,0,0,10,0,0,0,1,0,0,0,34,35.4,20.8,8,6.4,283,112,245,71,293,99,308,110
6,562,FALSE,4.5,4.4,"Aina",0.2,"a",8,54,22,16536,5118,4251,2124,1.3,4.9,"Aina",450,1,0,1,5,0,0,0,0,0,0,3,92,115.6,61.8,13,18.9,115,42,132,33,265,86,157,50
2.7,571,FALSE,4.5,4,"Andersen",0,"a",8,54,8,508,129,249,47,0.6,1.8,"Andersen",180,0,0,1,1,0,0,0,0,0,0,0,34,22.4,1.2,5,2.8,319,129,365,138,317,110,361,131
3,572,FALSE,4.5,2.8,"Adarabioyo",0,"a",8,54,11,1671,184,717,192,0.7,2.4,"Adarabioyo",360,0,0,1,4,0,0,0,0,0,0,0,59,58.8,1.8,30,9.2,222,92,349,128,201,58,273,95
0,585,FALSE,4.4,0,"Kongolo",0,"i",8,54,0,119,32,85,10,0,0,"Kongolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,188,459,187,429,175,480,188
0.7,216,FALSE,4.4,1,"Morgan",0.1,"a",9,13,3,7078,411,8229,540,0.2,0.7,"Morgan",16,0,0,0,0,0,0,0,0,0,0,0,9,3,0.1,0,0.3,394,149,385,148,408,168,404,149
5,218,FALSE,4.5,4,"Fuchs",0.2,"a",9,13,16,12162,3927,6300,976,1.1,3.6,"Fuchs",280,0,0,2,2,0,0,0,1,0,0,2,61,63.6,5.8,9,7.8,208,87,317,105,288,96,295,103
3.3,219,FALSE,5.5,2.6,"Evans",0.3,"a",9,13,13,14550,3553,11390,975,0.6,2.4,"Evans",439,0,0,2,5,0,0,0,4,0,0,0,66,75.2,5.4,6,8.7,189,78,321,108,315,109,282,99
0,226,FALSE,5.9,0,"Barbosa Pereira",0.1,"i",9,13,0,2151,213,7687,327,0,0,"Pereira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,218,594,218,594,218,596,218
0,227,FALSE,3.9,0,"Amartey",0.9,"i",9,13,0,40070,609,85102,3998,0,0,"Amartey",144,0,0,0,4,0,0,0,1,0,0,0,19,22.4,1.8,0,2.4,318,128,346,127,354,133,367,136
0,237,FALSE,4.3,0,"Benkovic",0,"n",9,13,0,183,7,4497,84,0,0,"Benkovic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,178,435,177,403,163,457,178
0,238,FALSE,5.3,2,"Söyüncü",3.5,"i",9,13,8,101540,96,783792,23379,0,1.5,"Söyüncü",360,0,0,1,7,0,0,0,1,0,0,0,64,83.4,24.6,44,15.2,176,72,229,63,171,42,198,63
4.7,239,FALSE,4.8,4.2,"Justin",22,"a",9,13,34,1302487,60698,580387,31568,1,7.1,"Justin",720,1,1,3,9,0,0,0,1,0,0,1,139,142.4,66.3,43,25.3,69,19,125,30,172,43,102,26
0.7,240,FALSE,4.3,1,"Thomas",0.2,"a",9,13,2,6216,648,23087,724,0.2,0.5,"Thomas",135,0,0,0,1,0,0,0,1,0,0,0,11,23.2,1.7,11,3.5,317,127,351,129,269,87,353,126
2,498,FALSE,5.7,5.8,"Castagne",8.9,"i",9,13,35,1560909,2695,1288896,134483,0.4,6.1,"Castagne",540,1,3,2,8,0,0,0,1,0,0,4,136,145,78.1,86,31,66,18,101,25,82,13,77,15
4.7,561,FALSE,5,4,"Fofana",0.2,"d",9,13,16,15780,5674,3737,2070,0.9,3.2,"Fofana",360,0,0,2,2,0,0,0,2,0,0,2,80,79.2,14.5,2,9.5,182,75,276,87,341,126,271,93
-0.3,195,FALSE,4.4,1.8,"Cooper",0.6,"a",10,2,9,39284,396,57389,2567,-0.1,2,"Cooper",450,0,0,1,12,0,0,0,1,0,0,1,94,115,3.5,10,12.8,117,44,335,119,277,89,227,74
0,196,FALSE,3.9,0,"Douglas",5.5,"n",10,2,0,154424,587,745421,29397,0,0,"Douglas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,152,391,152,352,131,412,152
2,197,FALSE,4.5,2.1,"Ayling",4,"a",10,2,17,219331,3767,204034,23699,0.4,3.8,"Ayling",720,0,0,2,17,0,0,0,1,0,0,1,139,196.4,122.9,69,38.9,29,7,43,9,115,19,48,7
